Número,Nome,Tipos
6,Charizard,"['Fire', 'Flying']"
12,Butterfree,"['Bug', 'Flying']"
16,Pidgey,"['Normal', 'Flying']"
17,Pidgeotto,"['Normal', 'Flying']"
18,Pidgeot,"['Normal', 'Flying']"
21,Spearow,"['Normal', 'Flying']"
22,Fearow,"['Normal', 'Flying']"
41,Zubat,"['Poison', 'Flying']"
42,Golbat,"['Poison', 'Flying']"
83,Farfetch'd,"['Normal', 'Flying']"
84,Doduo,"['Normal', 'Flying']"
85,Dodrio,"['Normal', 'Flying']"
123,Scyther,"['Bug', 'Flying']"
130,Gyarados,"['Water', 'Flying']"
142,Aerodactyl,"['Rock', 'Flying']"
144,Articuno,"['Ice', 'Flying']"
145,Zapdos,"['Electric', 'Flying']"
146,Moltres,"['Fire', 'Flying']"
149,Dragonite,"['Dragon', 'Flying']"
